ticker,sector,industry,marketCap,sharesOutstanding,message
BDX,Healthcare,Medical Instruments & Supplies,70387630080.0,289868992.0,
LNT,Utilities,Utilities—Regulated Electric,12913892352.0,249760992.0,
CBR,,,,,'regularMarketOpen'
SXI,Industrials,Specialty Industrial Machinery,973826560.0,12380200.0,
RNO,,,,,'regularMarketOpen'
WY,Real Estate,REIT—Specialty,23885535232.0,746422976.0,
VSCI,,,,,'regularMarketOpen'
BEN,Financial Services,Asset Management,12276723712.0,495230016.0,
PETX,,,,,'regularMarketOpen'
MDH,,,,,'regularMarketOpen'
UNIS,,,,,'regularMarketOpen'
HOLX,Healthcare,Medical Instruments & Supplies,19100983296.0,258984992.0,
LCI,Healthcare,Drug Manufacturers—Specialty & Generic,271885952.0,41700300.0,
HALO,Healthcare,Biotechnology,5549262336.0,135183008.0,
BX,Financial Services,Asset Management,44303302656.0,674006016.0,
RAIL,Industrials,Railroads,47381140.0,15534800.0,
ZUMZ,Consumer Cyclical,Apparel Retail,939798528.0,25475700.0,
IQNT,,,,,'regularMarketOpen'
CLE,,,,,'regularMarketOpen'
CFNB,Financial Services,Banks—Regional,156832528.0,10284100.0,
KMB,Consumer Defensive,Household & Personal Products,46258630656.0,340136992.0,
AMNB,Financial Services,Banks—Regional,294686432.0,10971200.0,
FDP,Consumer Defensive,Farm Products,1228697472.0,47366900.0,
Q,,,,,'regularMarketOpen'
SCOR,Communication Services,Advertising Agencies,180510512.0,72786496.0,
PASW,,,,,'regularMarketOpen'
CPHD,,,,,'regularMarketOpen'
MDRX,Healthcare,Health Information Services,2265462016.0,157982000.0,
GCA,,,,,'regularMarketOpen'
GILD,Healthcare,Drug Manufacturers—General,76164481024.0,1253529984.0,
ITC,,,,,'regularMarketOpen'
CACI,Technology,Information Technology Services,6125142016.0,25218800.0,
NOG,Energy,Oil & Gas E&P,419539392.0,45851300.0,
MLSS,Healthcare,Medical Instruments & Supplies,141399568.0,63693500.0,
ARMP,Healthcare,Biotechnology,50682148.0,18701900.0,
RSPI,Healthcare,Biotechnology,1743252.0,645649024.0,
PAR,Technology,Software—Application,1433979904.0,21616700.0,
AAWW,,,,,HTTP Error 503: Service Unavailable
